p_1 p_2 p_3 p_4 p_5 p_6
2.369243098985357107e-02 8.299596072369579136e-02 6.034928220218691575e-01 5.385615622249784878e-02 6.575673427339476240e-02 1.702058957686889418e-01
1.778035684118043358e-01 2.437025046222683622e-02 2.303396007682412538e-01 1.908941675707206131e-01 1.621984847350672887e-02 3.603725643135002321e-01
1.695861062740398051e-01 1.597185146064757436e-02 2.658647247991404727e-01 8.735805284051245678e-02 3.299543062215490874e-01 1.312649584041107320e-01
3.146870676846368065e-02 1.656483376079708608e-02 8.984742212661907257e-02 4.062304743645906435e-01 3.037104235022517473e-01 1.521781394772778184e-01
3.274395610731685169e-01 2.036125634600601253e-01 1.353169970340251937e-01 1.267911464660554377e-01 1.411859728688169280e-01 6.565375909787396491e-02
1.502731072294390680e-01 2.098043980189770452e-01 2.824339835635333862e-01 1.133430314407798817e-01 1.478837084472929553e-01 9.626177129997759430e-02
3.129609362161777653e-01 1.024302654391584244e-01 1.295250271591922957e-02 6.326721046424309269e-02 3.498439161299253253e-01 1.585451690345760223e-01
6.195490211142595793e-01 1.102089921093688113e-01 9.540487362651550729e-02 9.659793021913386235e-02 7.645814472472732548e-02 1.781038205994914247e-03
2.644994605129571963e-01 3.945200866434536019e-02 2.199163854289648556e-02 3.490344368621222104e-01 1.825061227507299155e-02 3.067718431426058046e-01
1.113538497900148500e-01 4.907051695673136926e-02 1.279504199729576963e-01 4.417495966656551087e-01 2.285384512046475525e-01 4.133716540999352040e-02
1.766008126087745961e-02 2.755133079537575025e-01 1.541427235922854522e-01 2.452446162715240796e-01 3.077141032072409910e-02 2.766678606008313168e-01
1.469075945690946350e-01 4.212056486242285458e-02 4.474008617656448361e-02 3.106754445305442980e-01 7.700100156913905480e-02 3.785553082922345491e-01
9.066721303614930227e-02 4.772077439479160965e-02 6.903288634942512658e-01 1.544578804584704340e-02 2.791054013264952782e-02 1.279268208963112996e-01
2.680710982256227504e-01 2.876288205932951425e-01 7.322406347931080528e-02 1.050224491048043635e-01 2.176088286840493768e-01 4.844473991291754766e-02
1.150987395316084849e-01 1.576065846504960399e-01 8.538967675971713411e-02 3.871591888765688050e-01 2.455990695062222617e-01 9.146740675387112982e-03
5.961838176738263467e-02 2.525099935547851504e-01 4.797312905599895871e-01 7.104483920608427316e-02 9.967937929755975313e-02 3.741611561419857374e-02
6.802971103420709653e-01 5.632311200323504574e-02 2.411430188675028896e-02 4.039797088544243991e-02 1.111016868619256054e-01 8.776581802057546733e-02
1.176015303203599843e-01 1.339291959607176452e-01 3.500760052420776036e-01 2.376656566444699525e-01 1.096177394685910050e-01 5.110987236378370518e-02
4.418556048993600022e-02 2.133313174551741687e-02 3.201002214311641780e-01 4.057521098315908792e-01 2.023735659677563525e-01 6.255410534035185308e-03
2.878076028731567648e-01 3.492263916999469031e-02 1.982012347170749034e-01 2.323515600599705133e-01 1.307117779022893000e-01 1.160051852775138836e-01
8.295788443832863290e-02 2.134194791037234140e-01 3.466508113877349584e-01 4.072095687806353941e-04 2.363136705023812789e-01 1.202509449990510904e-01
2.724992552747375341e-02 7.776220977411803237e-02 3.203383164208160605e-01 2.120426295361689806e-01 8.602946260227109510e-02 2.765774561391520781e-01
7.215731382359816259e-02 1.736957756320196555e-01 1.713028285317845512e-01 1.791778319334295932e-01 1.963599898431647173e-01 2.073062602360032369e-01
4.904810315690810163e-01 5.108666703593112146e-02 6.262621767823992047e-02 2.889178868348237783e-01 7.798197101067191883e-02 2.890622587125191503e-02
1.484774159385317607e-02 1.973786184289273160e-01 2.383183161084279252e-03 2.826520673551808915e-01 2.389485111689300667e-01 2.637898782920243268e-01
7.688237713326352696e-02 2.567627224436146438e-01 3.391324249396172608e-01 1.049129484596664358e-01 5.112867219479579062e-02 1.711808548290421894e-01
1.897129985892815895e-01 3.406265559275505339e-01 2.356371572653085666e-01 1.307443197382005262e-01 8.903235715063122224e-02 1.424661132902749552e-02
1.944465899202762749e-01 3.833311068758709500e-02 1.537675946841862151e-01 7.124722796044027917e-02 2.859891633318377702e-01 2.562163134156723587e-01
2.846958002572577695e-01 3.443991212144616870e-02 3.253138716251888218e-02 1.038507153845091707e-01 4.900585046855347043e-02 4.954763346057144968e-01
1.534620728750284852e-02 2.023948460782047376e-01 1.418838222225120016e-01 3.759684439639490727e-02 1.220099027764694338e-01 4.807683772389162447e-01
2.634790805091343779e-01 1.613512960501442550e-01 1.501573732037141118e-01 1.821238489902320956e-01 1.729640859321823487e-01 6.992431531459281091e-02
3.731031105301669260e-01 4.348815995204552975e-01 5.687654413635629541e-02 7.079872108634584216e-02 3.685564395928133535e-02 2.748438076739443542e-02
1.430702845180672478e-01 8.365112821906595109e-02 4.349683609787932670e-01 4.594687301442018645e-02 1.207588322976001494e-01 1.716045209720532538e-01
7.094214473036427604e-01 2.274343492904446623e-02 6.376130699277144688e-03 9.002753183160287775e-02 9.972024523197021983e-02 7.171121000446256666e-02
4.544139213716429093e-02 1.463886582018473770e-01 1.256349278795315938e-01 4.546932912328200405e-01 1.031475077676985985e-01 1.246942227809380438e-01
