time value
0.0 2
1.0 5
2.0 6
3.0 4
4.0 3
5.0 6
6.0 3
7.0 6
8.0 3
9.0 6
10.0 2
11.0 6
12.0 4
13.0 5
14.0 4
15.0 1
16.0 1
17.0 6
18.0 5
19.0 1
20.0 5
21.0 6
22.0 5
23.0 1
24.0 6
25.0 6
26.0 1
27.0 5
28.0 2
29.0 2
30.0 6
31.0 6
32.0 6
33.0 6
34.0 5
35.0 6
36.0 6
37.0 6
38.0 4
39.0 3
40.0 6
41.0 6
42.0 6
43.0 6
44.0 1
45.0 6
46.0 3
47.0 1
48.0 4
49.0 1
50.0 5
51.0 6
52.0 6
53.0 2
54.0 4
55.0 5
56.0 5
57.0 3
58.0 6
59.0 4
60.0 4
61.0 2
62.0 6
63.0 2
64.0 6
65.0 1
66.0 6
67.0 1
68.0 6
69.0 6
70.0 5
71.0 3
72.0 6
73.0 6
74.0 4
75.0 4
76.0 6
77.0 6
78.0 6
79.0 6
80.0 6
81.0 4
82.0 6
83.0 2
84.0 1
85.0 6
86.0 1
87.0 6
88.0 6
89.0 5
90.0 6
91.0 5
92.0 5
93.0 2
94.0 4
95.0 6
96.0 3
97.0 6
98.0 2
99.0 3
100.0 6
